#Ly;MeshElem;CompLy;Diap
Cu Медь ГОСТ 9717.2 9717.1-82 ГОСТ9716.2-79 ГОСТ9716.1-79;Cu;Медь;
Sb:;;;
259,806;;F;0,001-0,01
261,23;;F;0,01-0,06
259,806;;F;0,0005-0,006
As:;;;
234,984;;F;0,0006-0,01
286,045;;F;0,01-0,07
234,984;;F;0,0004-0,005
286,045;;F;0,005-0,07
Mg:;;;
277,983;;F;0,001-0,007
277,983;;F;0,0003-0,007
Sn:;;;
283,999;;F;0,001-0,01
281,352;;F;0,01-0,07
283,999;;F;0,0003-0,005
281,352;;F;0,005-0,07
Si:;;;
288,158;;F;0,001-0,007
251,612;;262,7;0,0005-0,007
Bi:;;;
306,772;;F;0,0005-0,01
289,797;;F;0,001-0,01
306,772;;F;0,0001-0,001
Ag:;;;
338,289;;338,142;0,001-0,005
Ni:;;;
305,082;;F;0,001-0,06
282,129;;F;0,06-0,3
306,462;;F;0,01-0,06
305,082;;F;0,0005-0,01
Fe:;;;
296,69;;F;0,002-0,08
358,119;;F;0,0005-0,005
300,957;;F;0,004-0,01
259,837;;F;0,0005-0,006
Mn:;;;
279,482;;F;0,0003-0,01
260,569;;F;0,0001-0,01
Pb:;;;
283,307;;F;0,001-0,01
287,332;;F;0,01-0,06
283,307;;F;0,0004-0,002
287,332;;F;0,002-0,06
Cr:;;;
283,563;;F;0,003-0,05
Zn:;;;
334,502;;F;0,002-0,06
334,502;;F;0,0007-0,01
334,502;;335,447;0,01-0,06
Sb:;;;
206,838;;F;
259,809;;F;
217,588;;F;
As:;;;
234,984;;F;
Mg:;;;
279,553;;316,5;
279,553;;F;
280,27;;F;
Sn:;;;
283,999;;316,5;
317,505;;F;
Si:;;;
288,158;;316,5;
288,158;;F;
251,611;;F;
Bi:;;;
306,772;;316,5;
306,772;;F;
Ag:;;;
338,289;;316,5;
338,289;;F;
Ni:;;;
341,476;;316,5;
341,477;;F;
Fe:;;;
371,994;;316,5;
302,064;;F;
259,94;;F;
Mn:;;;
403,075;;316,5;
403,076;;F;
293,344;;F;
Pb:;;;
405,782;;316,5;
405,782;;F;
283,307;;F;
Cr:;;;
425,434;;316,5;
425,434;;F;
267,799;;F;
Zn:;;;
472,222;;316,5;
472,216;;F;
334,505;;F;
P:;;;
253,339;;F;
253,399;;F;
Pb:;;;
405,78;;F;
405,78;;510,55;
283,31;;249,22;
Fe:;;;
371,99;;F;
371,99;;510,55;
302,06;;F;
302,06;;510,55;
259,93;;249,22;
Sn:;;;
283,99;;F;
283,99;;510,55;
317,51;;F;
317,51;;510,55;
317,51;;249,22;
Al:;;;
394,4;;F;
394,4;;510,55;
396,15;;F;
396,15;;510,55;
309,27;;249,22;
Ni:;;;
341,48;;F;
341,48;;510,55;
341,48;;249,22;
Si:;;;
288,16;;F;
288,16;;510,55;
251,61;;249,22;
As:;;;
234,98;;228,3;
Mn:;;;
293,3;;510,55;
Sb:;;;
231,147;;510,55;
Bi:;;;
306,772;;249,22;
306,772;;510,55;
Pb:;;;
405,78;;510,55;
363,95;;510,55;
Ni:;;;
282,129;;F;
241,614;;F;
Fe:;;;
296,69;;F;
259,939;;F;
259,837;;F;
238,204;;F;
Sn:;;;
266,125;;F;
281,262;;F;
283,999;;F;
As:;;;
234,984;;F;
Pb:;;;
287,332;;F;
244,38;;F;
283,307;;F;
Al:;;;
266,039;;F;
308,215;;F;
Si:;;;
243,516;;F;
251,433;;F;
283,158;;F;
Bi:;;;
306,772;;F;
P:;;;
255,32;;F;
Sb:;;;
252,85;;F;
259,81;;F;
