#Ly;MeshElem;CompLy;Diap
ГОСТ 12556.2-82;Pt;Сплавы платино-родиевые;
Pd:;;;
325,87;;326,84;0,005-0,10
324,27;;324,02;0,01-0,20
Ir:;;;
322,07;;326,84;0,02-0,08
284,97;;;0,01-0,20
Rh:;;;
;;285,61;
Ru:;;;
349,89;;326,8;0,01-0,08
343,67;;326,8;0,01-0,08
Au:;;;
312,27;;307,95;0,005-0,05
267,59;;267,45;0,01-0,20
Ag:;;;
338,28;;326,84;0,001-0,02
Fe:;;;
259,93;;259,6;0,01-0,08
253,58;;;0,01-0,20
Rh:;;;
;;258,72;
Cu:;;;
327,3;;326,84;0,001-0,02
Zn:;;;
334,5;;326,84;0,005-0,05
Al:;;;
309,27;;307,95;0,005-0,05
308,21;;307,95;0,005-0,05
Ni:;;;
303,79;;307,95;0,005-0,05
Si:;;;
288,15;;285,31;0,005-0,05
Sn:;;;
283,99;;285,31;0,005-0,05
Sb:;;;
287,79;;285,31;0,005-0,05
259,81;;259,6;0,005-0,05
Pb:;;;
280,2;;285,31;0,005-0,05
Mg:;;;
277,67;;;0,005-0,02
Rh:;;;
;;276,77;
