#Ly;MeshElem;CompLy;Diap
ГОСТ 23902-79;Ti;Сплавы титановые;
Al:;;;
396,15;;394,78;0,2-0,7
394,4;;394,78;0,2-0,7
360,16;;356,16;2,0-8,0
309,27;V;310,62;0,5-7,0
309,27;V;304,88;0,5-7,0
309,27;V;303,87;0,5-7,0
281,62;Mo;284,19;2,0-8,0
281,62;Mo;282;2,0-8,0
257,51;;243,41;0,004-0,2
265,2;;;0,004-10,0
360,1;;;0,004-10,0
396,15;;;0,004-10,0
394,4;;;0,004-10,0
308,21;;;0,004-10,0
V:;;;
326,77;;326,37;0,2-3,0
326,77;;303,87;0,2-3,0
326,77;;299,02;0,2-3,0
310,23;;304,88;1,0-6,0
309,31;;304,88;1,0-6,0
303,38;;303,87;1,0-6,0
289,33;;282;1,0-6,0
288,25;;282;1,0-6,0
268,8;;F;0,002-0,2
572,7;;;0,002-6,0
437,92;;;0,002-6,0
326,77;;;0,002-6,0
318,54;;;0,002-6,0
311,84;;;0,002-6,0
Fe:;;;
259,94;;288,6;0,1-2,0
259,94;;284,19;0,1-2,0
259,84;;257,26;0,1-2,0
259,84;;255,6;0,1-2,0
248,42;;243,83;0,01-0,2
271,41;;;0,01-2,0
259,94;;;0,01-2,0
259,84;;;0,01-2,0
238,2;;;0,01-2,0
Si:;;;
288,16;;288,6;0,05-0,5
288,16;;284,19;0,05-0,5
288,16;;282;0,05-0,5
251,43;;257,26;0,05-0,5
250,69;;255,6;0,05-0,5
250,69;;252,05;0,05-0,5
251,43;;243,83;0,002-0,03
243,52;;243,41;0,03-0,1
288,1;;;0,002-0,5
Mn:;;;
294,92;;310,62;0,5-1,5
294,92;;303,87;0,5-1,5
293,93;;310,62;0,5-1,5
293,93;;303,87;0,5-1,5
261,02;;288,6;0,5-2,0
260,57;;257,26;0,5-2,0
257,61;;255,6;0,5-2,0
261,02;;F;0,007-0,5
257,61;;F;0,0005-0,007
294,92;;;0,0005-2,0
293,31;;;0,0005-2,0
Mo:;;;
287,15;;303,87;0,5-10,0
287,15;;288,6;0,5-10,0
284,82;;284,19;0,5-10,0
284,82;;282;0,5-10,0
268,41;;F;0,006-0,5
553,3;;;0,006-10
386,41;;;0,006-10
277,54;;;0,006-10
284,8;;;0,006-10
Sn:;;;
303,41;V;303,87;1,0-5,0
300,91;V;303,87;1,0-5,0
266,12;;255,6;1,0-5,0
242,95;;252,05;1,0-5,0
242,95;;245,04;1,0-5,0
242,95;;243,83;0,003-1,0
326,23;;;0,005-5,0
317,5;;;0,005-5,0
284;;;0,005-5,0
Cr:;;;
284,32;;303,87;0,2-3,0
284,32;;288,6;0,2-3,0
284,32;;284,19;0,2-3,0
284,32;;282;0,2-3,0
268,71;;F;0,02-0,2
267,72;;F;0,004-0,02
534,58;;;0,004-3,0
425,43;;;0,004-3,0
296,17;;;0,004-3,0
284,92;;;0,004-3,0
267,72;;;0,004-3,0
Zr:;;;
355,19;;350,03;1,0-5,0
349,62;;341,17;1,0-5,0
343,82;;341,17;1,0-5,0
343,05;;;
339,2;;303,87;3,0-10,0
339,2;;303,87;0,1-5,0
273,49;;F;0,1-5,0
270,01;;299,02;1,0-5,0
270,01;;243,41;0,006-0,1
257,14;;257,26;1,0-5,0
257,14;;255,6;1,0-5,0
477,23;;;0,006-10,0
349,62;;;0,006-10,0
343,82;;;0,006-10,0
339,2;;;0,006-10,0
Cu:;;;
324,75;;327,53;0,0009-0,01
224,7;;224,47;0,01-0,25
324,75;;;0,001-0,25
Ni:;;;
341,48;;342,89;0,01-0,10
239,45;;243,41;0,10-0,25
341,48;;;0,01-0,25
