#Ly;MeshElem;CompLy;Diap
ГОСТ 3221-85;Al;АЛЮМИНИЙ ПЕРВИЧНЫЙ.МЕТОДЫ СПЕКТРАЛЬНОГО АНАЛИЗА;
V:;;;
437,92;Fe;;0,003 - 0,01
318,54;Fe;;0,001 - 0,01
318,4;Fe;;0,001 - 0,01
Fe:;;;
371,99;;;0,0005 - 0,5
302,06;Cr;;0,0003 - 0,3
275,4;Cr;;0,1 - 1,0
274,32;Ni;;0,1 - 1,0
259,94;;;0,03 - 1,0
248,33;;;0,0005 - 1,0
239,56;;;0,1 - 1,0
Si:;;;
390,55;Fe;;0,1 - 1,0
298,76;;;0,5 - 1,0
288,16;;;0,0005 - 1,0
251,61;Ti;;0,001 - 1,0
250,69;;;0,01 - 1,0
Mg:;;;
518,36;;;0,001 - 0,02
285,21;Fe;;0,0005 - 0,02
280,27;Mn;;0,001 - 0,02
279,55;Fe;;0,001 - 0,02
279,08;;;0,003 - 0,02
Mn:;;;
482,35;;;0,001 - 0,02
403,08;Ga,Fe;;0,0002 - 0,02
294,92;W,Ti;;0,001 - 0,02
293,3;;;0,005 - 0,02
280,11;Mg,Fe;;0,0002 - 0,02
260,57;;;0,001 - 0,02
259,37;Fe;;0,001 - 0,02
Cu:;;;
510,55;Fe;;0,001 - 0,03
327,4;;;0,0003 - 0,03
324,75;Fe,Ti;;0,0003 - 0,03
Na:;;;
589,59;;;0,001 - 0,03
589;;;0,0003 - 0,02
Ti:;;;
365,35;Fe;;0,002 - 0,03
337,28;;;0,003 - 0,03
334,9;;;0,0001 - 0,03
323,45;Fe;;0,005 - 0,03
Cr:;;;
425,43;;;0,0001 - 0,005
359,35;Fe;;0,001 - 0,01
357,87;CN;;0,003 - 0,01
301,48;Fe;;0,003 - 0,01
Zn:;;;
636,23;;;0,001 - 0,1
481,05;;;0,001 - 0,1
334,5;;;0,0002 - 0,1
Al:;;;
;;396,153;
;;394,403;
;;308,216;
;;305,993;
;;305,008;
;;293,6;
;;266,92;
;;265,249;
;;266,039;
;;237,841;
