#Ly;MeshElem;CompLy;Diap
ГОСТ 6012-2011;Ni;Никель;
Al:;;;
309,27;;;0,0002-0,005
308,22;;;0,005-0,1
B:;;;
249,67;;;0,0001-0,001
Bi:;;;
306,77;;;0,00001-0,001
289,8;;;0,0005-0,01
Ga:;;;
403,3;;;0,00003-0,0003
287,42;;;0,00003-0,0003
Fe:;;;
302,06;;;0,001-0,01
271,9;;;0,001-0,01
248,33;;;0,001-0,01
248,81;;;0,001-0,01
296,69;;;0,001-0,01
295,39;;;0,005-0,1
296,53;;;0,01-1,0
Cd:;;;
228,8;;;0,00005-0,0003
214,44;;;0,00005-0,0005
326,11;;;0,0003-0,01
Ca:;;;
422,67;;;0,0005-0,005
317,93;;;0,005-0,05
Co:;;;
340,51;;;0,0003-0,01
304,4;;;0,001-0,03
240,72;;;0,001-0,03
242,49;;;0,01-0,3
307,23;;;0,01-0,3
308,26;;;0,01-0,3
298,96;;;0,05-1,0
326,08;;;0,05-1,0
Si:;;;
288,16;;;0,0003-0,01
251,61;;;0,0003-0,01
251,92;;;0,005-0,2
Mg:;;;
285,21;;;0,0001-0,02
279,55;;;0,0001-0,01
280,27;;;0,0001-0,01
277,98;;;0,002-0,1
278,14;;;0,01-0,2
Mn:;;;
279,48;;;0,00005-0,005
257,61;;;0,0001-0,005
293,31;;;0,005-0,05
294,92;;;0,005-0,05
325,84;;;0,03-0,2
Cu:;;;
324,75;;;0,00005-0,005
327,4;;;0,00005-0,005
296,12;;;0,005-0,1
282,44;;;0,005-0,1
249,2;;;0,005-0,1
276,63;;;0,05-1,0
As:;;;
234,98;;;0,0001-0,01
228,81;;;0,0001-0,01
278,02;;;0,001-0,01
286,04;;;0,001-0,01
Sn:;;;
284;;;0,00003-0,005
286,33;;;0,0001-0,005
285,06;;;0,001-0,01
242,95;;;0,001-0,01
Pb:;;;
283,31;;;0,00005-0,005
405,78;;;0,00005-0,001
287,33;;;0,005-0,01
261,42;;;0,005-0,01
Se:;;;
203,99;;;0,0001-0,01
Ag:;;;
328,07;;;0,00001-0,002
Sr:;;;
460,73;;;0,0001-0,001
Sb:;;;
259,81;;;0,0001-0,01
287,79;;;0,0001-0,01
Tl:;;;
276,79;;;0,00002-0,003
Ta:;;;
265,33;;;0,0001-0,005
Te:;;;
214,28;;;0,00005-0,001
238,58;;;0,0001-0,003
P:;;;
213,62;;;0,0001-0,005
253,56;;;0,0003-0,005
Cr:;;;
425,44;;;0,0001-0,001
Zn:;;;
206,19;;;0,0001-0,001
334,5;;;0,0002-0,005
330,26;;;0,0002-0,005
334,56;;;0,001-0,01
Ni:;;;
;;204,37;
;;205,32;
;;213,35;
;;242,91;
;;283,46;
;;287,62;
;;311,67;
;;329,62;
