#Ly;MeshElem;CompLy;Diap
ГОСТ9716.2-79;Cu;Сплавы медно-цинковые;
Pb:;;;
405,78;;F;
405,78;;510,55;
283,31;;249,22;
Fe:;;;
371,99;;F;
371,99;;510,55;
302,06;;F;
302,06;;510,55;
259,93;;249,22;
Sn:;;;
283,99;;F;
283,99;;510,55;
317,51;;F;
317,51;;510,55;
317,51;;249,22;
Al:;;;
394,4;;F;
394,4;;510,55;
396,15;;F;
396,15;;510,55;
309,27;;249,22;
Ni:;;;
341,48;;F;
341,48;;510,55;
341,48;;249,22;
Si:;;;
288,16;;F;
288,16;;510,55;
251,61;;249,22;
As:;;;
234,98;;228,3;
Mn:;;;
293,3;;510,55;
Sb:;;;
231,147;;510,55;
Bi:;;;
306,772;;249,22;
306,772;;510,55;
Pb:;;;
405,78;;510,55;
363,95;;510,55;
