#Ly;MeshElem;CompLy;Diap
ГОСТ9717.1-82;Cu;Медь;
Sb:;;;
206,838;;F;
259,809;;F;
217,588;;F;
As:;;;
234,984;;F;
Mg:;;;
279,553;;316,5;
279,553;;F;
280,27;;F;
Sn:;;;
283,999;;316,5;
317,505;;F;
Si:;;;
288,158;;316,5;
288,158;;F;
251,611;;F;
Bi:;;;
306,772;;316,5;
306,772;;F;
Ag:;;;
338,289;;316,5;
338,289;;F;
Ni:;;;
341,476;;316,5;
341,477;;F;
Fe:;;;
371,994;;316,5;
302,064;;F;
259,94;;F;
Mn:;;;
403,075;;316,5;
403,076;;F;
293,344;;F;
Pb:;;;
405,782;;316,5;
405,782;;F;
283,307;;F;
Cr:;;;
425,434;;316,5;
425,434;;F;
267,799;;F;
Zn:;;;
472,222;;316,5;
472,216;;F;
334,505;;F;
P:;;;
253,339;;F;
253,399;;F;
