#Ly;MeshElem;CompLy;Diap
ГОСТ Р 54153-2010;Fe;Сталь;
C:;;;
133,57;;;0,002-3,0
165,7;;;0,002-3,0
193,09;Fe;;0,002-3,0
426,73;;;0,020-3,0
S:;;;
180,73;Ni;;0,001-0,20
182,04;;;0,001-0,20
481,55;;;0,001-0,20
545,39;;;0,001-0,20
P:;;;
177,5;;;0,001-0,20
178,29;C;;0,001-0,20
214,91;Fe,W;;0,001-0,20
Si:;;;
181,69;;;0,10-5,0
185,07;;;0,010-1,00
198,84;;;0,010-5,0
212,41;;;0,002-5,0
243,52;Fe,W;;0,010-5,0
250,69;Fe,V;;0,010-2,0
251,61;V;;0,002-5,0
288,16;;;0,002-5,0
390,55;;;0,050-5,0
Mn:;;;
192,13;;;0,010-35,0
263,82;;;0,0005-35,0
293,31;;;0,0005-5,0
294,92;;;0,0005-5,0
403,45;;;0,0005-35,0
482,35;;;0,050-35,0
Cr:;;;
205,56;;;0,010-5,0
206,55;W;;0,010-5,0
267,72;W;;0,001-35,0
275,29;W;;0,001-5,0
298,92;V;;3,0-35,0
314,72;Co,W;;0,001-5,0
425,43;;;0,001-10,0
520,6;W;;0,001-5,0
534,58;;;0,001-5,0
597,87;;;0,001-5,0
Ni:;;;
218,55;W;;3,0-45,0
225,39;;;0,001-5,0
227,02;;;0,001-5,0
231,6;;;0,001-5,0
243,79;;;0,001-45,0
349,3;;;0,001-45,0
352,42;;;0,001-5,0
376,95;Ti;;3,0-45,0
388,97;Nb,Mo;;3,0-45,0
390,71;Ti,Mo;;3,0-45,0
471,44;;;0,001-5,0
Co:;;;
228,62;Fe;;0,0005-20,0
248,34;Mo;;0,5-20,0
340,51;V,Mo,Ti;;0,0005-5,0
341,23;Nb,Mo;;0,0005-2,0
345,35;Ce,Mo,V;;0,0005-20,0
373,59;Mo,V;;2,0-20,0
374,99;Ce,As;;2,0-20,0
384,55;V,Zr;;0,0005-20,0
Cu:;;;
200,04;;;0,001-5,0
211,21;;;0,001-2,0
219,23;;;0,001-2,0
223,01;;;0,001-2,0
224,26;;;0,001-52,0
282,44;;;0,01-5,0
324,75;Nb,Mn;;0,001-5,0
327,4;Nb;;0,001-5,0
510,55;W;;0,001-5,0
Al:;;;
186,28;;;0,001-10,0
199,05;;;0,001-1,0
257,51;;;0,001-1,0
308,22;V;;0,001-1,0
394,4;;;0,001-10,0
396,15;Mo,Zr;;0,001-10,0
As:;;;
189,04;C,Si;;0,0002-0,5
193,76;;;0,0002-0,5
197,26;;;0,0002-0,5
200,33;;;0,0002-0,5
Mo:;;;
202,03;Fe;;0,0002-10,0
281,62;Al;;0,0002-10,0
317,04;Fe;;0,0002-10,0
386,41;;;0,0002-10,0
476,02;;;0,10-10,0
553,31;W;;0,10-10,0
603,07;;;0,10-10,0
W:;;;
202,92;;;0,01-5,0
207,91;;;0,01-5,0
209,86;;;0,002-20,0
220,45;Al;;0,0020-20,0
239,71;;;0,10-20,0
258,69;;;0,10-20,0
330;Fe;;0,10-20,0
364,65;V;;0,10-20,0
400,88;Fe,Ti;;0,002-20,0
465,99;;;0,01-5,0
484,35;;;0,01-5,0
V:;;;
214,01;;;0,10-10,0
266,33;Pb;;0,10-10,0
290,82;;;0,001-5,0
310,23;;;0,001-5,0
311,07;Ti,Fe;;0,001-10,0
311,84;;;0,001-2,0
313,03;W;;0,01-10,0
411,18;Cr;;0,001-10,0
437,92;;;0,01-5,0
Ti:;;;
190,8;;;0,001-0,5
316,85;;;0,001-1,0
324,2;;;0,001-5,0
337,28;Nb;;0,001-5,0
365,35;;;0,001-5,0
453,32;;;0,001-5,0
Nb:;;;
212,65;;;0,001-3,0
295,09;;;0,001-3,0
313,08;;;0,001-3,0
316,31;;;0,001-3,0
319,5;Cu;;0,001-3,0
351,54;Ni;;0,02-3,0
358,03;;;0,02-3,0
410,09;Fe;;0,02-3,0
534,42;;;0,02-3,0
Zr:;;;
257,13;Cu;;0,001-0,5
339,19;Cr;;0,001-0,5
343,82;;;0,001-0,5
349,62;;;0,001-0,5
360,12;;;0,001-0,5
Pb:;;;
283,31;Zr,Fe;;0,001-0,5
405,7;V,Mn;;0,001-0,5
Sn:;;;
189,99;Al,Cr,Mn,Co;;0,0005-0,25
242,94;;;0,0005-0,25
303,41;;;0,0005-0,25
317,5;Fe,Mo;;0,0005-0,25
Zn:;;;
206,19;Pb;;0,001-0,05
334,56;Cr,Mo,Mn,Co;;0,001-0,05
481,05;;;0,001-0,05
Sb:;;;
217,58;C,Cr,N,Nb;;0,001-0,05
259,81;Fe;;0,001-0,05
B:;;;
182,59;;;0,0001-0,10
182,64;;;0,0001-0,10
208,96;;;0,0001-0,10
249,68;Wo,Fe;;0,0001-0,10
Bi:;;;
306,77;Sn,Fe;;0,001-0,05
Ca:;;;
393,37;;;0,0005-0,05
396,85;Zr,Nb;;0,0005-0,05
N:;;;
149,26;Si,Al,W;;0,001-0,05
298,5;Si;;0,001-0,05
Mg:;;;
297,08;Mn;;0,001-0,2
279,55;;;0,001-0,2
285,21;;;0,001-0,2
291,55;;;0,001-0,2
383,83;;;0,001-0,2
518,36;;;0,001-0,2
Ce:;;;
399,1;;;0,001-0,2
429,67;;;0,001-0,2
Fe:;;;
;;187,75;
;;215,15;
;;241,33;
;;249,33;
;W;262,83;
;Co,V;271,44;
;W;272,02;
;;273,07;
;;281,33;
;;282,33;
;;288,06;
;;390,03;
;;492,39;
