#Ly;MeshElem;CompLy;Diap
Все линии;Ar;Argon;
Pt:;;;
270,24;;271;
299,79;;299,6;
Pd:;;;
340,45;;341,57;
342,12;;;
Rh:;;;
339,68;;341,57;
Ru:;;;
287,49;;F;
342,83;;341,57;
Au:;;;
267,59;;268,4;
312,27;;331,02;
Os:;;;
290,9;;F;
Cu:;;;
324,75;;324,02;
327,39;;331,05;
Fe:;;;
299,44;;300;
438,35;;F;
Ni:;;;
341,47;;341,57;
Mg:;;;
280,26;;281,28;
Al:;;;
308,21;;309,01;
Pb:;;;
280,2;;F;
405,78;;;
Si:;;;
251,61;;251,87;
288,15;;299,6;
Ag:;;;
338,28;;341,57;
Ti:;;;
319,19;;317,86;
Ba:;;;
455,4;;F;
Sn:;;;
317,5;;317,86;
Pt:;;;
299,79;;300,58;
Pd:;;;
324,27;;323,76;
313,33;;F;
Ir:;;;
292,47;;F;
Ru:;;;
287,49;;287,39;
Au:;;;
312,27;;F;
Ag:;;;
338,28;;338,14;
Cu:;;;
327,39;;323,76;
Ni:;;;
303,79;;300,58;
Fe:;;;
296,69;;300,58;
Ti:;;;
307,86;;307,66;
Si:;;;
288,15;;288,12;
Ba:;;;
455,4;;F;
Pb:;;;
287,33;;287,39;
Al:;;;
308,21;;307,66;
Sn:;;;
326,23;;F;
Mg:;;;
278,29;;287,39;
Rh:;;;
365,8;;366,31;
Pd:;;;
355,31;;348,34;
Ir:;;;
269,42;;267,46;
Au:;;;
267,59;;267,46;
Fe:;;;
259,96;;267,46;
Rh:;;;
339,68;;334,39;
Ir:;;;
332,07;;334,39;
Au:;;;
267,59;;264,54;
Fe:;;;
259,96;;264,54;
Pd:;;;
325,87;;326,84;0,005-0,10
324,27;;324,02;0,01-0,20
Ir:;;;
322,07;;326,84;0,02-0,08
284,97;;;0,01-0,20
Rh:;;;
;;285,61;
Ru:;;;
349,89;;326,8;0,01-0,08
343,67;;326,8;0,01-0,08
Au:;;;
312,27;;307,95;0,005-0,05
267,59;;267,45;0,01-0,20
Ag:;;;
338,28;;326,84;0,001-0,02
Fe:;;;
259,93;;259,6;0,01-0,08
253,58;;;0,01-0,20
Rh:;;;
;;258,72;
Cu:;;;
327,3;;326,84;0,001-0,02
Zn:;;;
334,5;;326,84;0,005-0,05
Al:;;;
309,27;;307,95;0,005-0,05
308,21;;307,95;0,005-0,05
Ni:;;;
303,79;;307,95;0,005-0,05
Si:;;;
288,15;;285,31;0,005-0,05
Sn:;;;
283,99;;285,31;0,005-0,05
Sb:;;;
287,79;;285,31;0,005-0,05
259,81;;259,6;0,005-0,05
Pb:;;;
280,2;;285,31;0,005-0,05
Mg:;;;
277,67;;;0,005-0,02
Rh:;;;
;;276,77;
Rh:;;;
343,49;;334,39;
Pd:;;;
324,27;;334,39;
340,46;;342,79;
Au:;;;
267,59;;267,46;
Fe:;;;
259,84;;267,46;
Ir:;;;
;;260,2;
Pt:;;;
299,8;;319,47;
265,94;;268,87;
Ir:;;;
313,33;;319,47;
Rh:;;;
339,68;;319,47;
Fe:;;;
259,84;;259;
259,94;;268,87;
Pb:;;;
280,2;;268,87;
