#Ly;MeshElem;CompLy;Diap
ГОСТ 12223.0-76;Ir;Иридий;
Pt:;;;
270,24;;271;
299,79;;299,6;
Pd:;;;
340,45;;341,57;
342,12;;;
Rh:;;;
339,68;;341,57;
Ru:;;;
287,49;;F;
342,83;;341,57;
Au:;;;
267,59;;268,4;
312,27;;331,02;
Os:;;;
290,9;;F;
Cu:;;;
324,75;;324,02;
327,39;;331,05;
Fe:;;;
299,44;;300;
438,35;;F;
Ni:;;;
341,47;;341,57;
Mg:;;;
280,26;;281,28;
Al:;;;
308,21;;309,01;
Pb:;;;
280,2;;F;
405,78;;;
Si:;;;
251,61;;251,87;
288,15;;299,6;
Ag:;;;
338,28;;341,57;
Ti:;;;
319,19;;317,86;
Ba:;;;
455,4;;F;
Sn:;;;
317,5;;317,86;
