#Ly;MeshElem;CompLy;Diap
ГОСТ 17261-77;Zn;Цинк. Спектральный метод анализа.;
Cu:;;;
324,75;;271,25;0,0005-0,01
282,44;;301,84;0,01-0,01
Fe:;;;
358,12;;271,25;0,001-0,06
299,45;;301,84;0,01-0,2
259,96;;301,84;0,01-0,2
Cd:;;;
361,05;;271,25;0,001-0,02
26,11;;301,84;0,01-0,4
Pb:;;;
283,31;;271,25;0,002-0,05
363,96;;271,25;0,002-0,05
282,32;;301,84;0,01-3,0
Sn:;;;
283,99;;271,25;0,0007-0,05
235,48;;271,25;0,0007-0,05
317,5;;271,25;0,0007-0,05
Sb:;;;
287,79;;271,25;0,01-0,4
231,15;;271,25;0,01-0,4
Al:;;;
308,21;;271,25;0,002-0,03
309,2;;271,25;0,002-0,03
