#Ly;MeshElem;CompLy;Diap
ГОСТ27611-88;Fe;Чугун;
S:;;;
180,73;;;0,005-0,20
182,04;;;0,005-0,20
481,55;;;0,005-0,20
P:;;;
178,29;;;0,02-0,50
214,91;;;0,02-0,50
Si:;;;
181,69;;;0,10-2,00
212,41;;;0,10-2,00
243,52;;;0,10-2,00
288,16;;;0,10-2,00
390,55;;;0,10-2,00
Mn:;;;
263,82;;;0,10-2,00
293,31;;;0,10-2,00
478,34;;;0,10-2,00
482,35;;;0,10-2,00
Cr:;;;
206,55;;;0,01-0,50
267,72;;;0,01-0,50
275,29;;;0,01-0,50
462,62;;;0,01-0,50
Ni:;;;
218,55;;;0,01-0,50
225,39;;;0,01-0,50
227,02;;;0,01-0,50
231,6;;;0,01-0,50
341,48;;;0,01-0,50
351,51;;;0,01-0,50
385,83;;;0,01-0,50
Cu:;;;
200,04;;;0,02-0,20
219,23;;;0,02-0,20
223,01;;;0,02-0,20
327,4;;;0,02-0,20
510,55;;;0,02-0,20
V:;;;
271,57;;;0,01-0,50
290,82;;;0,01-0,50
311,07;;;0,01-0,50
312,29;;;0,01-0,50
317,92;;;0,01-0,50
Ti:;;;
190,8;;;0,01-0,10
316,25;;;0,01-0,10
324,2;;;0,01-0,10
334,94;;;0,01-0,10
337,28;;;0,01-0,10
453,32;;;0,01-0,10
As:;;;
189,04;;;0,01-0,20
193,76;;;0,01-0,20
234,98;;;0,01-0,20
286,05;;;0,01-0,20
Fe:;;187,75;
;;241,33;
;;249,33;
;;262,83;
;;271,44;
;;272,02;
;;300,96;
;;309,16;
;;438,35;
