Cu;БрАЖ;;;;;;;;;;;
;Fe;Mn;Al;Ni;Sn;Zn;Pb;Si;Sb;Cu;P;As
101;~6.90;~0.27;7.3;7.90;0.037;0.302;~0.019;0.056;~0.0010;~77.0;~0.007;~0.004
102;5.26;0.285;9.16;5.40;0.045;0.339;0.025;0.048;~0.0013;~79.0;~0.004;~0.002
103;3.97;0.504;11.83;3.89;0.103;0.551;0.050;0.095;0.0013;~79.0;~0.002;~0.0014
104;3.03;0.779;12.12;3.19;0.219;0.81;0.129;0.200;0.0012;~79.0;~0.035;~0.04
105;3.30;0.126;9.90;4.83;0.426;0.150;0.034;0.292;0.0015;~81.0;~0.005;~0.09
;;;;;;;;;;;;
101;;;0.4;0.10;0.005;0.025;;0.004;0.0002;;;
102;0.06;0.006;0.09;0.10;0.004;0.026;0.0022;0.003;;;;
103;0.07;0.011;0.15;0.06;0.007;0.023;0.003;0.005;0.0004;;;
104;0.08;0.014;0.22;0.09;0.014;0.05;0.006;0.016;0.0002;;;
105;;;;;;;;;;;;
