Cu;БрАЖМц10-3-1.5;;;;;;;;;;
;Mn;Fe;Ni;Al;Pb;Zn;Si;Sn;Cu;P;Sb
1101;0.48;4.35;1.02;9.67;0.015;1.02;0.20;0.034;~83.1;~0.022;~0.0012
1102;1.71;3.53;0.76;9.07;0.023;0.76;0.13;0.049;~83.8;~0.014;~0.0064
1103;1.37;2.25;0.56;8.42;0.075;0.42;0.088;0.076;~86.6;~0.0080;~0.0046
1104;1.04;1.41;0.37;11.32;0.056;0.26;0.065;0.19;~85.2;~0.0056;~0.0022
1105;2.09;2.90;0.26;10.63;0.040;0.50;0.12;~0.11;~83.3;~0.0064;~0.0025
;;;;;;;;;;;
1101;0.01;0.12;0.04;0.19;0.001;0.02;0.02;0.002;0.2;0.002;0.0002
1102;0.09;0.12;0.06;0.11;0.002;0.05;0.01;0.003;0.2;0.001;0.0004
1103;0.03;0.06;0.04;0.19;0.005;0.03;0.007;0.004;0.2;0.0006;0.0005
1104;0.04;0.05;0.01;0.25;0.005;0.02;0.005;0.01;0.2;0.0005;0.0002
1105;0.06;0.06;0.01;0.13;0.003;0.02;0.01;;0.2;0.0005;0.0003
