Cu;БрОФ4-0.25;;;;;;;;;
;Cu;Sn;Zn;Ni;Fe;Pb;P;Bi;Si;Sb
141;93.84;5.27;~0.32;0.25;0.033;0.025;0.18;0.0027;~0.001;~0.0005
142;97.80;1.93;0.067;~0.04;0.014;0.0028;~0.07;~0.0007;~0.002;~0.0004
143;95.81;3.26;0.26;0.13;0.031;0.029;0.31;0.0041;~0.002;~0.0003
144;95.63;3.83;~0.17;0.036;0.040;0.015;0.19;0.0026;~0.003;~0.0003
145;95.03;4.72;0.10;0.039;0.022;0.018;0.088;0.0019;~0.002;~0.0003
;;;;;;;;;;
141;0.08;0.12;;0.01;0.002;0.002;0.02;0.0003;;
142;0.10;0.05;0.004;;0.001;0.0003;;;;
143;0.06;0.21;0.02;0.01;0.003;0.002;0.01;0.0005;;
144;0.07;0.27;;0.002;0.002;0.001;0.02;0.0002;;
145;0.10;0.36;0.01;0.002;0.002;0.001;0.005;0.0002;;
