Cu;БрАЖНМц9-4-4-1;;;;;;;;;;;;;
;Mn;Fe;Ni;Al;Pb;Sb;Bi;Zn;Si;Sn;Cu;As;P;S
1511;1.47;3.02;5.32;10.6;0.010;0.0075;0.00102;~0.056;0.057;~0.0062;~79.3;~0.0050;~0.0018;
1512;1.19;5.26;5.14;9.70;0.016;0.0049;0.0012;0.31;0.24;0.25;~77.5;~0.0031;~0.0081;
1513;0.36;4.33;3.62;9.24;0.058;~0.0011;0.0068;0.94;0.080;0.052;~81.4;~0.0018;~0.0089;
1514;0.64;5.26;4.32;10.2;0.0331;0.0018;0.0036;0.50;0.095;0.098;~78.7;~0.0023;~0.0054;
1515;0.099;3.57;6.21;8.04;0.090;~0.0010;0.0050;1.17;0.047;0.074;~80.7;~0.0012;~0.0005;
1516;0.81;4.64;4.62;9.73;0.030;0.0017;~0.0023;0.50;0.085;0.14;79.42;0.0023;0.0038;~0.001
;;;;;;;;;;;;;;
1511;0.06;0.10;0.15;0.4;0.001;0.0006;0.00018;;0.004;;0.6;0.0004;;
1512;0.04;0.16;0.11;0.22;0.001;0.0004;0.0002;0.02;0.02;0.03;0.6;0.0003;;
1513;0.01;0.11;0.08;0.21;0.002;;0.0008;0.04;0.006;0.005;0.6;0.0003;;
1514;0.03;0.21;0.12;0.5;0.0026;0.0003;0.0004;0.02;0.006;0.008;0.6;0.0004;;
1515;0.005;0.08;0.18;0.17;0.005;;0.0005;0.10;0.004;0.006;0.6;0.0002;;
1516;0.01;0.04;0.03;0.06;0.002;0.0002;;0.01;0.003;0.01;0.13;0.0002;0.0003;
