Cu;БрО1ОФ1;;;;;;;;;
;Sn;P;Zn;Fe;Sb;Pb;As;Si;Bi;Al
1521;8.52;1.15;0.66;0.049;0.31;0.11;~0.016;0.027;0.0073;~0.020
1522;9.00;0.98;0.56;0.084;0.29;0.085;0.037;0.015;0.0061;~0.0050
1523;9.70;0.75;0.50;0.12;0.24;0.064;0.061;0.0078;~0.0032;~0.0080
1524;10.55;0.44;0.43;0.24;0.19;0.046;0.086;<=0.002;0.0050;~0.0021
1525;11.25;0.31;0.41;0.35;0.13;0.036;0.13;<=0.002;0.0043;~0.0037
;;;;;;;;;;
1521;0.29;0.10;0.04;0.004;0.03;0.01;<=0.001;0.002;0.0006;
1522;0.18;0.06;0.03;0.006;0.03;0.003;0.003;0.001;0.0005;
1523;0.29;0.03;0.02;0.01;0.01;0.005;0.005;0.0008;<=0.0004;
1524;0.18;0.02;0.02;0.01;0.01;0.003;0.005;;0.0005;
1525;0.35;0.03;0.02;0.03;0.01;0.003;0.01;;0.0004;
