Cu;БрО5Ц5О5;;;;;;;;;
;Cu;Sn;Zn;Pb;Ni;Sb;Fe;Si;Al;P
1841;85.7;3.47;3.52;6.51;0.63;0.082;0.097;~0.0023;<=0.001;<=0.001
1842;84.6;3.93;4.22;6.08;0.88;0.12;0.14;~0.0022;<=0.001;<=0.001
1843;82.8;4.52;5.49;5.48;1.23;0.19;0.28;~0.0058;<=0.001;<=0.001
1844;81.0;5.56;6.20;4.28;1.90;0.28;0.43;~0.025;<=0.001;<=0.001
1845;79.8;6.03;6.73;3.81;2.24;0.40;0.63;~0.071;<=0.001;<=0.001
;;;;;;;;;;
1841;0.5;0.13;0.12;0.25;0.02;0.006;0.006;;;
1842;0.5;0.11;0.18;0.28;0.04;0.01;0.01;;;
1843;0.4;0.12;0.16;0.21;0.06;0.01;0.02;;;
1844;0.5;0.12;0.17;0.23;0.05;0.02;0.01;;;
1845;0.5;0.16;0.20;0.18;0.10;0.02;0.02;;;
