Cu;БрО3Ц8С4 БрО5Ц6С5;;;;;;;;;;;;;;
;Sn;Zn;Pb;Ni;Fe;Mn;P;Sb;Al;Si;Bi;As;Mg;S;Cu
2;5.72;4.39;6.67;0.511;0.161;~0.12;0.028;~0.12;~0.010;~0.015;~0.007;;~0.0015;;~82.14
3;5.36;4.35;6.22;0.478;0.185;0.103;0.042;~0.11;~0.063;~0.06;~0.006;~0.006;~0.0004;~0.037;~83.10
4;3.73;6.20;4.38;1.01;0.42;0.048;0.077;~0.09;~0.016;~0.03;~0.012;~0.004;~0.0032;~0.015;~83.90
5;2.05;12.19;2.98;0.821;0.219;0.047;~0.068;~0.48;~0.021;~0.01;~0.016;~0.007;~0.0004;~0.027;~81.05
6;~3.92;~8.90;~5.85;2.43;0.210;0.061;~0.069;~0.47;~0.017;~0.05;~0.050;~0.005;~0.0025;;~78.01
;;;;;;;;;;;;;;;
2;0.04;0.02;0.05;0.004;0.006;;0.002;0.03;0.005;0.004;;;;;0.10
3;0.07;0.03;0.05;0.008;0.007;0.004;0.002;0.03;;;;;;;0.10
4;0.07;0.06;0.03;0.02;0.02;0.001;0.004;;;;;;;;
5;0.03;0.04;0.04;0.009;0.004;0.002;0.002;0.03;0.005;0.004;;;;;0.10
6;;;;0.03;0.005;0.004;0.002;0.03;0.005;0.004;;;;;0.10
