Cu;БрОЦ10-1 БрОЦ10-2;;;;;;;;;;
;Cu;Sn;Zn;Ni;Pb;P;Al;Sb;Si;Fe;Bi
251;88.22;8.1;2.00;0.32;~0.61;0.018;~0.022;~0.11;~0.036;~0.58;<0.001
252;86.72;10.1;1.13;0.72;~0.64;0.080;~0.013;~0.31;~0.023;~0.43;<0.001
253;82.72;11.7;4.26;0.52;0.42;0.047;0.0075;~0.0014;~0.014;~0.28;~0.0058
254;87.50;9.4;2.44;0.24;0.19;0.034;0.0043;~0.0012;~0.007;~0.16;~0.0064
255;89.84;6.6;~3.24;0.123;0.088;0.012;0.0028;~0.0010;~0.005;~0.09;~0.0043
;;;;;;;;;;;
251;0.03;0.5;0.10;0.02;;0.001;;0.01;;;
252;0.07;0.4;0.07;0.04;;0.004;;0.01;;;
253;0.09;0.6;0.12;0.03;0.04;0.002;0.0003;0.0002;;;
254;0.14;0.5;0.09;0.01;0.01;0.002;0.0004;0.0001;;;
255;0.05;0.5;;0.003;0.002;0.001;0.0001;0.0001;;;
