Cu;БрОЦС 8-4-3;;;;;;;;
;Sn;Zn;Fe;Ni;Sb;Cu;Pb;Si;Al
341;5.66;2.71;0.094;0.74;0.50;85.35;5.0;~0.024;~0.0026
342;6.39;3.26;0.15;0.91;0.29;84.65;4.09;~0.026;~0.0052
343;7.22;3.81;0.20;1.30;0.21;83.90;3.25;~0.018;~0.0074
344;8.17;4.83;0.21;1.88;0.12;82.50;2.16;~0.0082;~0.012
345;9.32;5.59;0.55;2.41;0.074;80.77;1.24;~0.0072;~0.0092
;;;;;;;;;
341;0.19;0.11;0.003;0.04;0.03;0.12;0.5;;
342;0.23;0.09;0.01;0.05;0.03;0.07;0.25;;
343;0.27;0.10;0.01;0.07;0.02;0.10;0.20;;
344;0.27;0.12;0.01;0.05;0.01;0.07;0.23;;
345;0.47;0.14;0.05;0.08;0.002;0.05;0.12;;
