Cu;БрАЖ9-4;;;;;;;;;;;
;Al;Fe;Mn;Ni;Sn;Zn;Si;Sb;P;Cu;Pb;As
71;7.32;4.41;0.203;0.278;~0.088;1.56;0.0724;0.045;0.0723;85.96;~0.175;~0.0045
72;11.98;1.015;0.285;0.742;0.351;0.83;~0.189;0.0014;0.0211;84.57;~0.074;~0.0046
73;10.01;2.137;0.774;0.968;0.053;0.106;0.289;0.0065;0.0160;85.67;~0.018;~0.023
74;9.06;1.970;0.292;1.468;0.216;0.259;0.161;0.0101;0.0082;86.63;~0.019;~0.031
75;7.96;2.788;1.006;0.321;0.173;0.617;0.090;0.0199;0.141;86.99;~0.013;~0.059
76;10.00;3.63;0.491;0.514;0.115;1.00;0.118;0.0023;0.0081;84.12;~0.015;~0.0084
;;;;;;;;;;;;
71;0.11;0.06;0.003;0.006;;0.05;0.0024;0.003;0.0022;0.06;;
72;0.08;0.018;0.007;0.020;0.021;0.03;;0.0002;0.0025;0.22;;
73;0.08;0.025;0.011;0.022;0.004;0.013;0.013;0.0005;0.0012;0.12;;
74;0.06;0.021;0.004;0.025;0.012;0.011;0.007;0.0011;0.0013;0.10;;
75;0.10;0.029;0.020;0.016;0.010;0.019;0.005;0.0009;0.009;0.09;;
76;0.07;0.06;0.010;0.017;0.009;0.07;0.004;0.0002;0.0008;0.14;;
