Cu;БрАМц9-2 БрАМц10-2;;;;;;;;;;;
;Ni;Al;Fe;Mn;Zn;P;Si;Sn;Pb;Cu;As;Sb
751;0.23;12.35;1.50;1.35;~0.088;0.12;~0.056;0.38;~0.0015;~83.70;<0.001;~0.0035
752;0.33;10.68;0.87;1.55;0.65;0.057;0.11;0.20;0.018;~85.36;<0.001;~0.0074
753;0.56;9.31;0.44;1.64;0.98;0.027;0.13;0.098;0.050;~86.51;<0.001;~0.0026
754;1.08;7.96;0.27;2.20;1.50;0.015;0.21;0.076;0.10;~86.70;<0.001;~0.0017
755;1.61;7.14;0.17;2.48;1.85;0.0091;0.37;0.038;0.31;~86.03;<0.001;~0.0014
;;;;;;;;;;;;
751;0.02;0.12;0.03;0.03;;0.01;;0.02;;0.09;;
752;0.02;0.10;0.05;0.04;0.02;0.006;0.01;0.01;0.003;0.09;;
753;0.02;0.12;0.03;0.05;0.06;0.003;0.02;0.006;0.003;0.10;;
754;0.04;0.10;0.02;0.05;0.07;0.002;0.02;0.004;0.01;0.10;;
755;0.06;0.08;0.02;0.06;0.07;0.0007;0.02;0.002;0.02;0.16;;
