Cu;БрО3Ц13С4 БрО3Ц12С5;;;;;;;;;;
;Cu;Fe;Zn;Sb;Sn;Mn;Ni;P;Pb;Si;Al
841;83.16;0.163;7.1;1.00;1.60;0.027;0.47;0.044;~6.0;~0.01;~0.002
842;80.73;0.27;9.4;0.80;2.21;0.050;0.84;0.075;~5.0;~0.02;~0.002
843;78.83;0.40;11.9;0.51;2.82;0.105;1.28;0.098;~4.1;~0.02;~0.002
844;76.68;0.59;13.5;0.30;3.37;0.27;1.68;0.20;~3.3;~0.01;~0.008
845;74.81;0.81;15.1;0.096;3.85;0.49;1.93;0.36;~2.3;~0.02;~0.008
;;;;;;;;;;;
841;0.12;0.005;0.4;0.05;0.11;0.002;0.03;0.003;;;
842;0.14;0.01;0.4;0.07;0.12;0.002;0.03;0.002;;;
843;0.04;0.04;0.8;0.04;0.15;0.003;0.07;0.006;;;
844;0.08;0.04;0.8;0.01;0.26;0.01;0.10;0.01;;;
845;0.11;0.06;0.8;0.005;0.21;0.02;0.05;0.03;;;
