Cu Zn;ЛС;ГОСТ 1020-77;;;;;;;;
;Cu;Pb;Si;Mn;Fe;Al;Sn;Ni;Sb;Zn
123;56.0;2.22;0.36;0.72;0.76;0.70;0.66;0.49;0.068;36.9
124;56.7;1.35;0.17;0.42;0.50;0.49;0.42;0.043;0.04;39.5
125;53.9;1.83;0.33;0.58;0.35;0.60;0.53;1.02;0.13;39.6
126;58.9;0.58;0.13;0.14;0.44;0.29;0.26;0.042;0.032;38.3
127;61.2;0.65;0.09;0.09;0.28;0.11;0.07;0.042;0.030;36.4
;;;;;;;;;;
123;0.2;0.12;0.03;0.04;0.05;0.03;0.06;0.03;0.007;0.3
124;0.2;0.06;0.02;0.03;0.05;0.03;0.03;0.01;0.01;0.4
125;0.2;0.12;0.03;0.04;0.04;0.03;0.06;0.05;0.02;0.3
126;0.2;0.05;0.02;0.02;0.03;0.03;0.03;0.01;0.007;0.3
127;0.2;0.05;0.02;0.01;0.03;0.02;0.01;0.01;0.007;0.3
