Cu Zn;ЛК80-3;ГОСТ 15527-70;;;;;;;;
;Cu;Si;Sb;Bi;P;Mn;Sn;Al;Fe;Zn
1241;76.79;1.86;0.015;-;0.0075;0.14;0.056;0.078;-;19.77
1242;78.17;2.64;0.022;0.0022;0.0092;0.20;0.090;0.11;0.29;18.44
1243;79.34;3.20;0.032;0.0042;0.012;0.31;0.13;0.15;0.20;16.60
1244;79.82;3.84;0.048;0.0055;0.022;0.53;0.22;0.20;0.32;14.95
1245;81.27;4.62;0.067;0.0078;0.047;0.83;0.41;0.40;0.22;12.11
;;;;;;;;;;
1241;0.20;0.11;0.001;;0.0004;0.01;0.005;0.008;;0.21
1242;0.21;0.09;0.002;0.0003;0.0005;0.01;0.008;0.01;0.01;0.17
1243;0.21;0.14;0.002;0.0005;0.001;0.01;0.01;0.01;0.01;0.20
1244;0.18;0.19;0.003;0.0005;0.001;0.02;0.02;0.02;0.02;0.17
1245;0.18;0.29;0.005;0.0008;0.004;0.02;0.04;0.04;0.01;0.13
