Cu Zn;ЛС59-1 ЛС59-1В ЛС60-1 ЛС60-2;ГОСТ 15547-70;;;;;;;;;
;Cu;Zn;Fe;Pb;Mn;Bi;Sn;Ni;Sb;Si;P
1361;56.2;41.2;0.69;~0.22;~0.007;~0.0021;0.50;0.23;0.064;~0.004;~0.0049
1362;57.7;40.3;0.37;0.50;~0.2;0.0033;0.33;~0.12;0.040;~0.11;~0.008
1363;59.2;38.5;0.22;0.79;0.20;0.0052;0.20;0.080;0.015;~0.20;~0.015
1364;60.5;37.4;0.080;1.53;0.059;0.0052;0.102;0.068;0.0093;~0.053;~0.021
1365;62.8;34.3;0.071;2.06;0.041;0.009;0.070;0.038;0.0053;~0.023;~0.032
;;;;;;;;;;;
1361;0.6;0.6;0.02;0.01;;0.0002;0.02;0.02;0.006;;0.0005
1362;0.5;0.6;0.02;0.02;;0.0003;0.01;0.01;0.004;0.01;
1363;0.6;0.6;0.01;0.04;0.01;0.0004;0.004;0.004;0.001;0.01;0.002
1364;0.7;0.6;0.002;0.07;0.004;0.0006;0.004;0.001;0.0008;0.03;0.002
1365;0.4;0.5;0.003;0.09;0.004;0.001;0.006;0.004;0.0005;0.001;0.003
