Cu Zn;ЛС59-1 ЛС60-1 ЛС63-3 ЛС64-2 ЛС74-3;ГОСТ 15527-70;;;;;;;;
;Fe;Pb;Sn;Al;Si;Sb;Ni;Bi;Cu;Zn
150;0.170;0.429;0.062;0.198;0.112;0.0039;0.594;0.0017;58.74;~37.8
151;0.159;0.767;0.116;0.364;0.166;0.0071;0.409;0.0022;60.08;~35.6
152;0.081;1.07;0.147;0.387;0.203;0.0073;0.239;0.0026;60.81;~36.3
153;0.090;1.92;0.254;0.288;0.320;0.0038;0.308;0.0027;62.91;~33.1
154;0.074;1.41;0.199;0.193;0.210;0.0040;0.634;0.0024;62.19;~34.6
155;0.157;1.88;0.229;0.195;0.121;0.0053;0.518;0.0021;64.90;~31.0
156;0.133;1.85;0.346;0.217;0.180;0.0057;0.305;0.0022;66.37;~29.2
157;0.128;2.90;0.232;0.291;0.339;0.0027;0.446;0.0029;63.63;~30.5
158;0.088;1.37;0.158;0.215;0.179;0.0040;0.716;0.0021;70.72;~27.1
159;0.120;1.35;0.259;0.129;0.124;0.0054;0.270;0.0026;69.14;~27.7
160;0.163;~2.45;0.269;~0.118;0.074;0.0033;0.463;0.0020;73.90;~22.3
;;;;;;;;;;
150;0.005;0.018;0.002;0.017;0.011;0.0003;0.026;0.0003;0.07;
151;0.006;0.025;0.009;0.033;0.020;0.0004;0.012;0.0004;0.16;
152;0.004;0.03;0.009;0.019;0.013;0.0004;0.008;0.0004;0.12;
153;0.003;0.04;0.010;0.027;0.016;0.0003;0.009;0.0005;0.08;
154;0.003;0.05;0.014;0.020;0.012;0.0001;0.026;0.0004;0.04;
155;0.003;0.05;0.019;0.015;0.015;0.0003;0.011;0.0002;0.12;
156;0.003;0.03;0.025;0.024;0.017;0.0003;0.007;0.0002;0.05;
157;0.003;0.05;0.016;0.032;0.014;0.0002;0.018;0.0005;0.07;
158;0.003;0.04;0.014;0.028;0.013;0.0003;0.026;0.0005;0.08;
159;0.003;0.03;0.028;0.014;0.016;0.0003;0.011;0.0002;0.10;
160;0.005;;0.024;;0.005;0.0003;0.012;0.0002;0.17;
