Cu Zn;Л60 Л63 Л68 Л70;ГОСТ 1558-79 1564-79;;;;;;;
;Pb;Fe;Sb;As;Bi;Sn;Cu;Zn;P
201;~0.7;0.082;~0.02;0.015;0.0046;0.020;~70.9;~28.0;~0.02
202;0.29;0.27;0.020;0.0080;0.0039;0.010;~62.5;~36.4;~0.01
203;0.17;0.16;0.010;0.0045;0.0059;0.0096;~59.8;~39.6;~0.006
204;0.086;0.095;0.0044;0.061;0.0026;0.0053;~67.0;~32.6;~0.01
205;0.043;0.056;~0.006;0.022;0.0018;0.0062;~69.9;~29.9;~0.004
206;0.026;0.035;0.0072;0.012;0.0010;0.0032;~56.7;~43.1;~0.003
;;;;;;;;;
201;;0.002;;0.002;0.0003;0.002;0.1;0.3;
202;0.02;0.01;0.002;0.0008;0.0004;0.002;0.1;0.2;
203;0.02;0.01;0.001;0.0005;0.0005;0.0007;0.1;0.2;
204;0.003;0.005;0.0005;0.003;0.0003;0.0004;0.1;0.3;
205;0.004;0.003;;0.002;0.0002;0.0003;0.1;0.3;
206;0.003;0.003;0.0007;0.002;0.0002;0.0003;0.1;0.2;
