Cu Zn;Разбраковка;;;;;;;;;;;
;Cu;Zn;Ni;Mn;Pb;Fe;Sn;Si;Al;Bi;Sb;As
210;56.20;32.90;~3.95;0.87;~1.84;~0.88;0.30;1.77;0.92;~0.0045;~0.009;~0.037
211;53.33;32.92;3.86;2.31;~0.39;~1.00;0.99;1.76;2.67;~0.001;~0.0095;~0.035
212;54.99;42.90;0.084;0.0047;2.36;0.030;0.010;~0.001;~0.019;~0.001;~0.0094;~0.018
213;95.51;3.04;0.097;0.033;0.090;0.073;0.017;0.71;0.031;~0.0012;~0.001;~0.017
214;92.51;3.04;1.03;2.54;0.040;0.21;0.018;~0.008;~0.017;~0.001;~0.0013;~0.075
215;50.84;43.07;0.085;2.90;2.41;0.25;0.013;~0.0024;0.032;~0.003;~0.0011;~0.021
216;73.90;13.13;6.46;3.32;0.042;1.02;0.012;1.68;0.027;~0.0048;~0.0094;~0.0085
217;56.99;32.95;~3.93;0.74;~1.83;~1.02;0.30;0.82;0.94;~0.0044;~0.0094;~0.0085
218;88.20;3.03;6.40;0.57;0.093;0.15;0.30;~0.0012;0.90;~0.003;~0.0048;~0.0084
219;78.25;13.27;1.00;0.89;0.021;1.14;0.30;3.46;0.94;~0.005;~0.0082;~0.079
;;;;;;;;;;;;
210;0.12;0.11;;0.03;;;0.01;0.14;0.07;;;
211;0.07;0.14;0.07;0.10;;;0.05;0.04;0.06;;;
212;0.24;0.10;0.003;0.0005;0.08;0.008;0.001;;;;;
213;0.14;0.10;0.007;0.002;0.007;0.004;0.002;0.05;0.003;;;
214;0.20;0.10;0.03;0.10;0.002;0.01;0.002;;;;;
215;0.13;0.20;0.006;0.10;0.10;0.01;0.002;;0.004;;;
216;0.03;0.16;0.10;0.06;0.005;0.04;0.002;0.07;0.002;;;
217;0.20;0.23;;0.03;;;0.01;0.05;0.06;;;
218;0.03;0.01;0.10;0.03;0.007;0.01;0.02;;0.06;;;
219;0.04;0.27;0.03;0.03;0.002;0.04;0.02;0.16;0.06;;;
