Cu Zn;Лс-ЛОС;;;;;;;;;;;
;Pb;Sn;Al;Si;Mn;Fe;Ni;Sb;P;Cu;Zn;As
221;1.54;0.40;1.05;0.30;0.54;0.44;0.61;0.022;0.023;55.70;39.371;~0.004
222;2.60;0.21;0.46;0.68;0.93;0.25;0.31;0.023;0.0574;61.76;32.715;~0.005
223;0.67;0.63;0.13;0.065;0.20;0.72;1.02;0.010;0.012;58.49;38.048;~0.005
224;0.89;0.44;0.067;0.17;0.52;0.15;0.10;0.022;~0.018;73.94;~23.7;~0.006
225;1.84;1.64;0.25;0.71;0.39;0.40;1.14;0.050;0.029;60.58;~33.0;~0.022
226;3.12;1.06;0.48;0.46;0.11;0.63;0.42;0.11;0.056;68.14;~25.4;~0.021
;;;;;;;;;;;;
221;0.05;0.01;0.02;0.01;0.01;0.01;0.02;0.001;0.001;0.06;;
222;0.05;0.01;0.01;0.01;0.02;0.01;0.02;0.002;0.003;0.06;;
223;0.03;0.02;0.01;0.006;0.01;0.02;0.03;0.001;0.001;0.06;;
224;0.04;0.02;0.003;0.01;0.02;0.01;0.01;0.002;;0.07;;
225;0.06;0.05;0.01;0.02;0.02;0.01;0.05;0.002;0.001;0.12;;
226;0.10;0.03;0.01;0.17;0.01;0.01;0.02;0.006;0.001;0.08;;
