Cu Zn;ЛС60-I ЛС59-I;ГОСТ 15527-70;;;;;;;;
;Ni;Si;Pb;Sn;Fe;Cu;Sb;P;Al;Zn
961;0.207;0.178;2.17;0.19;0.43;56.76;0.026;0.0060;0.28;39.48
962;0.127;0.103;1.48;0.118;0.46;57.84;0.016;0.0087;0.14;39.55
963;0.092;0.078;0.94;0.081;0.41;59.01;0.0101;0.0101;0.080;39.15
964;0.067;0.049;0.63;0.057;0.33;60.53;0.0064;0.018;0.038;38.27
965;0.048;0.029;~0.43;0.036;0.29;62.63;0.0044;0.026;~0.019;36.46
;;;;;;;;;;
961;0.005;0.007;0.15;0.02;0.03;0.05;0.002;0.0003;0.02;0.18
962;0.006;0.003;0.11;0.006;0.03;0.06;0.001;0.0003;0.01;0.19
963;0.004;0.002;0.07;0.002;0.02;0.04;0.0005;0.0004;0.005;0.16
964;0.002;0.002;0.03;0.004;0.02;0.04;0.0003;0.001;0.002;0.08
965;0.001;0.001;;0.003;0.01;0.05;0.0002;0.001;;0.12
