Cu;Cu Sn;;;;
;Al;Si;Bi;S;Mn
3-16;0.021;0.058;0.010;0.065;~0.0010
3-17;0.005;0.028;0.009;0.071;~0.0006
3-19;0.023;0.060;0.010;0.070;~0.0025
3-20;0.019;0.053;0.010;0.072;~0.0025
3-21;0.018;0.053;0.010;0.071;~0.0015
3-22;0.017;0.053;0.010;0.071;~0.0014
3-23;0.017;0.052;0.010;0.068;~0.0014
3-24;0.017;0.052;0.010;0.071;~0.0014
3-26;0.018;0.053;0.010;0.071;~0.0019
3-27;0.016;0.050;0.010;0.068;~0.0011
;;;;;
3-16;0.004;0.008;0.002;0.008;
3-17;0.004;0.008;0.002;0.008;
3-19;0.004;0.008;0.002;0.008;
3-20;0.004;0.008;0.002;0.008;
3-21;0.004;0.008;0.002;0.008;
3-22;0.004;0.008;0.002;0.008;
3-23;0.004;0.008;0.002;0.008;
3-24;0.004;0.008;0.002;0.008;
3-26;0.004;0.008;0.002;0.008;
3-27;0.004;0.008;0.002;0.008;
