Zn;ЦАМ4-1 ЦАМ4-3;;;;;;;
;Cu;Al;Fe;Pb;Mg;Si;Sn;Cd
261;4.01;4.51;0.022;0.015;0.070;~0.028;~0.023;~0.0066
262;2.32;3.66;0.050;0.0254;0.080;~0.0079;~0.012;~0.0180
263;1.14;2.99;0.092;0.0225;0.014;~0.0084;~0.0043;~0.0105
264;0.71;2.03;0.032;0.020;0.0082;~0.013;~0.0073;~0.0083
265;0.39;~1.03;0.115;0.017;~0.13;~0.018;~0.0091;~0.014
;;;;;;;;
261;0.26;0.32;0.001;0.001;0.005;<=0.002;<=0.002;<=0.0003
262;0.13;0.17;0.001;0.0008;0.004;<=0.0005;<=0.001;<=0.0007
263;0.08;0.20;0.002;0.0006;0.002;<=0.0007;<=0.0003;<=0.0004
264;0.06;0.13;0.002;0.001;0.0007;<=0.001;<=0.0005;<=0.0003
265;0.02;;0.004;0.001;;<=0.002;<=0.0009;<=0.001
