Zn;ЦАМ9-1,5 ЦАМ10-5 ЦАМ9-1,5л ЦАМ10-5л ЦАМ9-1,5ч ЦАМ10-5ч;;;;;;
;Pb;Cu;Sn;Al;Si;Cd;Mg
281;0.088;5.95;~0.1;10.5;0.12;0.065;0.114
282;0.029;4.12;0.053;12.4;0.27;0.036;0.057
283;0.042;2.95;0.029;~9.1;~0.15;0.028;0.044
284;0.056;1.66;0.019;7.8;~0.089;0.021;0.031
285;0.032;0.81;0.011;6.4;0.031;0.014;~0.010
286;0.021;2.00;0.0055;4.9;0.020;0.0088;0.0080
;;;;;;;
281;0.006;0.08;-;0.6;0.01;0.004;0.009
282;0.003;0.13;0.006;0.6;0.02;0.003;0.004
283;0.003;0.06;0.003;-;-;0.004;0.004
284;0.004;0.16;0.002;0.5;-;0.002;0.002
285;0.002;0.03;0.002;0.4;0.003;0.002;-
286;0.002;0.07;0.0004;0.4;0.002;0.0007;0.0009
