Zn;ЦВ0 Ц0 ЦI;ГОСТ 3640-79;;;;
;Cu;Pb;Cd;Fe;Sn;As
451;0.038;0.019;0.012;0.010;0.0023;<=0.0005
452;0.0014;0.014;0.0021;0.0030;~0.0005;<=0.0005
453;0.0040;0.011;0.0032;0.0046;0.0014;<=0.0005
454;0.033;0.044;0.022;0.015;0.0037;<=0.0005
455;0.010;0.0027;0.0039;0.011;~0.0003;<=0.0005
456;0.012;~0.0020;0.0071;0.012;~0.0005;<=0.0005
;;;;;;
451;0.004;0.002;0.001;0.001;0.0002;
452;0.0002;0.002;0.0003;0.0003;;
453;0.0005;0.001;0.0004;0.0005;0.0002;
454;0.004;0.004;0.002;0.001;0.0004;
455;0.001;0.0004;0.0005;0.001;;
456;0.001;;0.0007;0.001;;
