Zn; ЦА4 ЦА4о;ГОСТ 19424-74;;;;;;
;Al;Cd;Cu;Sn;Pb;Fe;Mg;Si
921;3.92;0.0100;0.69;0.0061;0.018;0.012;~0.024;~0.0043
922;2.72;0.0068;0.011;0.0011;0.014;0.0046;0.0081;~0.0032
923;3.01;0.0056;0.025;0.0024;0.012;~0.003;0.024;~0.0025
924;4.7;0.0102;0.106;0.0099;0.014;0.043;0.084;~0.0095
925;3.34;0.0026;0.060;0.0061;0.028;0.0040;0.067;~0.0038
;;;;;;;;
921;0.27;0.0008;0.005;0.0005;0.002;0.001;;
922;0.16;0.0006;0.001;0.0001;0.001;0.0004;0.0009;
923;0.17;0.0005;0.002;0.0003;0.001;;0.003;
924;0.3;0.0008;0.009;0.0009;0.001;0.004;0.008;
925;0.15;0.0003;0.004;0.0005;0.002;0.0005;0.008;
